"city","state","idhm","income","longevity","education","year"
"Campos do Jordão","SP",0.741,0.716,0.735,0.773,1991
"Cotiporã","RS",0.76,0.67,0.811,0.799,1991
"Descalvado","SP",0.78,0.73,0.803,0.807,1991
"Franca","SP",0.783,0.743,0.779,0.827,1991
"Lindóia","SP",0.737,0.706,0.744,0.761,1991
"Panambi","RS",0.756,0.64,0.762,0.867,1991
"Presidente Lucena","RS",0.733,0.614,0.788,0.796,1991
"São Francisco do Sul","SC",0.752,0.658,0.762,0.836,1991
"São José do Inhacorá","RS",0.723,0.555,0.777,0.836,1991
"São Roque","SP",0.743,0.721,0.697,0.812,1991
"Atibaia","SP",0.76,0.744,0.752,0.783,1991
"Bebedouro","SP",0.774,0.709,0.795,0.819,1991
"Faxinal dos Guedes","SC",0.716,0.621,0.79,0.738,1991
"Imbé","RS",0.765,0.695,0.744,0.857,1991
"Jaú","SP",0.78,0.726,0.793,0.82,1991
"Lavras","MG",0.743,0.679,0.709,0.84,1991
"Lindóia do Sul","SC",0.715,0.645,0.737,0.762,1991
"Pedrinhas Paulista","SP",0.804,0.804,0.781,0.828,1991
"Picada Café","RS",0.74,0.671,0.727,0.822,1991
"Sales Oliveira","SP",0.763,0.727,0.774,0.789,1991
"Santa Bárbara d'Oeste","SP",0.755,0.704,0.742,0.818,1991
"São João Batista","SC",0.739,0.654,0.785,0.779,1991
"Taquara","RS",0.77,0.718,0.788,0.805,1991
"Biguaçu","SC",0.755,0.657,0.816,0.793,1991
"Candiota","RS",0.763,0.668,0.803,0.819,1991
"Canela","RS",0.758,0.67,0.821,0.784,1991
"Catalão","GO",0.724,0.663,0.7,0.81,1991
"Cianorte","PR",0.727,0.662,0.76,0.76,1991
"Corupá","SC",0.748,0.691,0.757,0.796,1991
"Guaratinguetá","SP",0.791,0.769,0.734,0.87,1991
"Ituiutaba","MG",0.747,0.686,0.755,0.8,1991
"Lucas do Rio Verde","MT",0.762,0.723,0.748,0.814,1991
"Osasco","SP",0.783,0.753,0.746,0.851,1991
